id;channel;descripcion
1;6.1 Multimedios Guadalajara;"Además de la programación de noticieros y deportes, Multimedios Televisión cuenta con programas de entretenimiento como: El Chismorreo: Programa vespertino de espectáculos y farándula.
Es show: Programa de entretenimiento enfocado a público mayor de edad.
Adivigana: Programa de concursos nocturno
Vivalavi: Programa de revista matutino en donde se presentan secciones de belleza e información."
2;A&E;"El canal se centró originalmente en la programación biografías, documentales, y series (en especial de dramas criminales y misterios), pero más tarde se ha expandido para incluir telerrealidad.
(The network was originally founded in 1984 as the Arts & Entertainment Network, initially focusing on fine arts, documentaries (including its then-flagship series Biography), and dramas (including imported series from the United Kingdom). In 1995, the network rebranded as A&E, in an effort to downplay the negative perceptions of arts programming and generally market the network as a ""thought-provoking"" alternative to other television channels. In 2002, at the expense of its arts programming, A&E began to gradually focus more on reality series to attract younger viewers. By 2017, the network had also phased out scripted programs, making reality shows its primary focus.)"
3;A+;Es una red de canales de televisión mexicana de Televisión Azteca con un enfoque local, la cual tiene como principal objetivo la producción y difusión de programación local en diversas poblaciones al interior de México. Dentro de la programación del canal se encontraron programas de noticias locales pero tambien una gran cantidad de videos relacionados con actividades paranormales en México, programas relacionadas con extraterrestes y teorías de conspiración y farandula mexicana.
4;Adenalina;"Encontré Adrenalina pero no Adenalina asumo que es el mismo.
Adrenalina Sports Network (antes conocido como Fighting Sports Network y UFC Network). El 1 de enero de 2019, el canal fue relanzado nuevamente como Adrenalina Sports Network, con un reenfoque de programación enfocado solo en deportes extremos incluyendo deportes extremos, artes marciales mixtas, ciclismo y otras variedades deportivas."
5;ADN40; Es un canal de televisión abierta mexicana producida por TV Azteca con una programación de corte noticioso.  Su nombre son las siglas de Azteca, Deportes y Noticias. Dentro de la programación también se encuentra programas de opinión, de cultura (programas de literatura e historia), documentales y entretenimiento (farandula). 
6;AMC;AMC es un canal de televisión por suscripción de origen estadounidense, propiedad de AMC Networks, el cual emite principalmente películas, junto con una cantidad limitada de programación original. Aunque las películas siguen siendo una parte integral de la agenda de AMC, la cadena ha llamado la atención en los últimos años por su serie original. El establecimiento de Mad Men en 2007, seguido por el de Breaking Bad en 2008, ha dado a AMC una reputación a la par con las redes de cable premium HBO y Showtime, ambos habían rechazado Mad Men antes de que llegara a la AMC. El canal también transmite algunos programas adquiridos, tales como CSI: Miami y pantalones cortos de Los Tres Chiflados. La programación de la serie, sin embargo, sigue ocupando una cantidad limitada de la programación de AMC también cuenta con una de sus series más exitosas del momento: The Walking Dead.
7;Animal Planet;"El canal está dedicado a programación de la relación entre humanos y animales. 
Algunos documentales como Animal Planet de película, Animal Planet al extremo y los programas Wild Frank, Con el agua al cuello, Ciudadanos del reino animal (Metrópolis salvaje), Los secretos del reino animal, Misterios del reino animal, Reinos ocultos, El acuario, Dinosaurios modernos, El último de su especie, Los Irwin (Crikey! It's the Irwins), Los Irwin en la cuarentena, El zoológico de San Diego, The Dodo: En busca de héroes, Pitbulls y convictos, Amanda al rescate, Evan a lo salvaje, Coyote Peterson: aventuras salvajes, Mansiones en los árboles, Guaridas con estilo, Monstruos de río, Pequeños Gigantes de la naturaleza, Entre perros y gatos, La Tierra desde el espacio y Dog TV."
8;AOT - All Other Tuning;vacio
9;AOT Paga;vacio
10;AXN;AXN es el canal de TV que ofrece a los usuarios la mejor programación, desde suspenso y misterio hasta acción. Dentro de la programación se encuentran series como: Breaking Bad, Mujeres asecinas, Lost, CSI, Criminal Minds, Law and Order, The dead zone, Cinema AXN
11;Azteca 7;Actualmente se emiten programas de temática diversa, como lo son series dramáticas internacionales, películas, reality shows y deportes, destacando sus funciones de box y lucha libre. Actualmente la programación de Azteca 7 consiste en una barra infantil con la producciones de Disney Junior y Cartoon Network en un bloque conocido como «Kidsiete». en las tardes presenta una barra de series tanto nacionales como internacionales desde las 17 horas. Los viernes y los fines de semana, presenta partidos de la Liga MX desde las 19 horas. Los sábados y domingos, además de caricaturas adicionales, presenta películas tanto estelares como producidas para televisión. Los domingos, en temporada de NFL, presenta una transmisión múltiple de partidos en simultáneo. conocido en bloque con el nombre de Ritual NFL.
12;Azteca Uno;"Su programación, de corte generalista, está constituida principalmente por reality shows, noticieros, programas de variedad, concursos, deportes, películas, series y telenovelas. Dentro de la programación se encuentra: 
Venga la alegría: Programa de entretenimiento matutino
Ventaneando: Programa de farandula y críticas dentro del mundo del espectaculo
Noticieros
Programas de deportes"
13;Azteca Uno -1 Hr.;No encontré información
14;Azteca Uno -2 Hrs.;No encontré información
15;Bajio Tv;Airing local content and programming for viewers in León and Guanajuato. Locally produced programming for León and Guanajuato, including news, sports and local entertainment programming.
16;Bandamax;Canal dedicado a la música regional mexicana. Su programación consiste en vídeos musicales, noticias y entrevistas con los representantes de este género.
17;BITME;Canal enfocado a la programación de carácter gamer y cultura geek, tras el bajo índice de audiencia de su antecesor Tiin para poder llamar la atención del público joven. Se concreta la creación de Bitme en 2019. El canal se lanzó el 15 de julio de 2019, con una programación variada de este tipo, además de una programación de anime, su primer programa emitido fue Los caballeros del zodiaco.
18;Boomerang;Boomerang es un canal de televisión por suscripción infantil de caricaturas animadas. Dentro de su programación se encuentra: El show de Tom y Jerry, El inspector Gadget, ¡Ponte en onda, Scooby-Doo!, New Looney Tunes, Ben 10, Lluvia de hamburguesas: La serie
19;C24 Televisa del Golfo;It is the Televisa local station for Tampico, with local news and programming alongside a selection of other Televisa programs.
20;Canal 10;Estación de televisión mexicana autorizada para servir a distintas ciudades de Puebla, Estado de México, Morelos, Tlaxcala y Guerrero. La programación está enfocada en contenido de la actualidad del mundo en terminos politicos y economicos. Tiene programas de noticias y de evaluación de la situación actual del mundo y en particular de México.
21;Canal 12;En Canal 12 de Televisa Tijuana tenemos la misión de satisfacer las necesidades de entretenimiento e información en la  de Tijuana y las Californias a través de una plataforma de comunicación integral y efectiva. Dentro de la progrmación se encontró: telenovelas, noticias, deportes y farandula
